agent_type,temperature_c,temperature_f,concentration_pct,flooding_factor_metric,flooding_factor_imperial,source
FK-5-1-12,65.556,150,4.7,0.584674,0.0365,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,71.111,160,4.7,0.573461,0.0358,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,76.667,170,4.7,0.56385,0.0352,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,82.222,180,4.7,0.554559,0.03462,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,87.778,190,4.7,0.544948,0.03402,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,93.333,200,4.7,0.536298,0.03348,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,98.889,210,4.7,0.527648,0.03294,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,104.444,220,4.7,0.518678,0.03238,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-28.889,-20,5.0,0.900238,0.0562,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-23.333,-10,5.0,0.877812,0.0548,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-17.778,0,5.0,0.855386,0.0534,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-12.222,10,5.0,0.834562,0.0521,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-6.667,20,5.0,0.81534,0.0509,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-1.111,30,5.0,0.796118,0.0497,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,4.444,40,5.0,0.778497,0.0486,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,10.0,50,5.0,0.760877,0.0475,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,15.556,60,5.0,0.744859,0.0465,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,21.111,70,5.0,0.72884,0.0455,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,26.667,80,5.0,0.714423,0.0446,calculo_supresion.xlsx tabla_temperatura corrected_decimal_outlier
